"CNPJ";"Beneficiário";"Nome Fantasia";"UF";"Município";"CNAE";"Benefício Fiscal";"Valor Renunciado(R$)";
"03.504.437/0003-12";"FRINSCAL - DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA";"FRINSCAL-DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA";"SÃO PAULO";"SANTOS";"46397 - Comércio atacadista de produtos alimentícios em geral";"COFINS";"352.829,00";
"02.529.330/0001-02";"EMBRAPS - SERVICOS LTDA";"EMBRAPS";"SÃO PAULO";"SANTOS";"78108 - Seleção e agenciamento de mão-de-obra";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"368.106,09";
"02.092.233/0002-78";"CONCAIS S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"380.898,00";
"44.983.435/0009-26";"GRANEL QUIMICA LTDA";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"381.110,00";
"58.198.524/0001-19";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS";"SANTA CASA DE SANTOS";"SÃO PAULO";"SANTOS";"86101 - Atividades de atendimento hospitalar";"IPI";"387.440,00";
"58.207.572/0001-26";"FUNDACAO LUSIADA";"";"SÃO PAULO";"SANTOS";"85325 - Educação superior - graduação e pós-graduação";"COFINS";"388.361,00";
"83.693.366/0012-73";"ZORTEA CONSTRUCOES LTDA";"ZORTEA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"412.764,00";
"53.004.313/0001-84";"FERTIMPORT S/A";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"420.388,57";
"02.406.691/0001-53";"COPABO INFRA - ESTRUTURA MARITIMA LTDA";"COPABO INFRA - ESTRUTURA MARITIMA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"423.410,00";
"55.186.241/0001-69";"AGENCIA DE VAPORES GRIEG S/A";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"423.539,76";
"11.151.807/0001-41";"ASA IMPORTADORA E EXPORTADORA LTDA";"ASA IMPORTADORA E EXPORTADORA";"SÃO PAULO";"SANTOS";"46699 - Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";"Imposto de Importação";"425.452,00";
"02.092.233/0002-78";"CONCAIS S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"433.593,00";
"17.143.348/0001-30";"RADIO SERRA AZUL DE FREQUENCIA MODULADA LTDA";"";"MINAS GERAIS";"SANTOS DUMONT";"60101 - Atividades de rádio";"Horário Eleitoral";"436.688,71";
"07.053.693/0014-44";"COFCO INTERNATIONAL GRAOS E OLEAGINOSAS LTDA.";"NIDERA SEMENTES";"SÃO PAULO";"SANTOS";"46320 - Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas";"PIS";"446.042,00";
"22.369.646/0001-83";"ARGUEL COMERCIO IMPORTACAO E EXPORTACAO LTDA";"ARGUEL COMERCIO";"SÃO PAULO";"SANTOS";"46494 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente";"Imposto de Importação";"446.779,00";
"26.892.376/0001-41";"RUPUS LOGISTICA LTDA";"RUPUS LOGISTICA";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"450.200,64";
"28.971.936/0002-60";"LOG-IN MARITIMA CABOTAGEM LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"PIS";"456.619,00";
"60.860.673/0036-73";"EXXONMOBIL QUIMICA LTDA";"EXXONMOBIL QUIMICA LTDA";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"IPI";"464.095,00";
"14.592.680/0001-94";"GUARA-NORTE OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"COFINS";"467.121,00";
"48.539.407/0102-61";"BASF SA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"COFINS";"473.841,00";
"01.178.071/0003-03";"AMSPEC BRASIL INSPECOES TECNICAS LTDA.";"";"SÃO PAULO";"SANTOS";"71201 - Testes e análises técnicas";"COFINS";"474.483,00";
"01.178.071/0003-03";"AMSPEC BRASIL INSPECOES TECNICAS LTDA.";"";"SÃO PAULO";"SANTOS";"71201 - Testes e análises técnicas";"Imposto de Importação";"490.397,00";
"48.539.407/0102-61";"BASF SA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"491.027,00";
"02.286.658/0002-18";"GB TERMINAIS BRASIL S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"500.155,00";
"58.130.089/0007-86";"S.MAGALHAES S.A. LOGISTICA EM COMERCIO EXTERIOR";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"501.651,00";
"27.275.310/0001-75";"CRYOTRONICS SERVICOS DE CRIOGENIA, MANUTENCAO INDUSTRIAL E COMERCIO LTDA.";"CRYOTRONICS";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"513.414,00";
"54.346.994/0001-21";"TERMOBRASTEC COMERCIO E SERVICOS LTDA";"TERMOBRASTEC NAVAL";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"IPI";"518.832,00";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Fundos do Idoso";"519.101,58";
"03.744.755/0001-99";"G.T. COMERCIAL IMPORTADORA E EXPORTADORA LTDA";"GT NUTRITION";"SÃO PAULO";"SANTOS";"46371 - Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"COFINS";"519.853,00";
"04.485.210/0011-40";"VITERRA AGRICULTURE BRASIL S.A.";"***";"SÃO PAULO";"SANTOS";"46231 - Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja";"PIS";"523.823,00";
"56.418.544/0001-22";"CHURRASCARIA RANCHO BARREADO LTDA";"";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"528.321,97";
"42.278.291/0039-05";"LOG-IN - LOGISTICA INTERMODAL S/A";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"IPI";"542.641,00";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Fundos de Direitos da Criança e do Adolescente";"548.000,64";
"21.242.155/0001-04";"SAN SABINO EMPREENDIMENTOS HOTELEIROS, PARTICIPACOES EM HOSPEDAGEM E SERVICOS DE EVENTOS  LTDA.";"SAN SABINO";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"570.181,32";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Incentivo ao Desporto";"571.898,42";
"56.067.705/0001-80";"MENDES HOTEIS TURISMO E ADMINISTRADORA LTDA";"";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"585.859,27";
"06.083.148/0001-13";"TECHSCAN IMPORTADORA E SERVICOS LTDA";"TECHSCAN";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"586.221,00";
"54.346.994/0001-21";"TERMOBRASTEC COMERCIO E SERVICOS LTDA";"TERMOBRASTEC NAVAL";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"610.172,00";
"03.384.298/0003-30";"FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA";"";"SÃO PAULO";"SANTOS";"50122 - Transporte marítimo de longo curso";"PIS";"612.002,00";
"04.027.894/0001-64";"DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.";"DUPATRI HOSPITALAR";"SÃO PAULO";"SANTOS";"46443 - Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"612.404,69";
"45.557.022/0001-95";"TRANSBRASA TRANSITARIA BRASILEIRA LTDA";"TRANSBRASA";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"COFINS";"621.185,00";
"02.805.610/0002-79";"EMBRAPORT EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S/A";"DP WORLD SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"IPI";"622.191,00";
"21.659.864/0001-90";"BR MOBILIDADE BAIXADA SANTISTA SPE S.A";"BR MOBILIDADE BAIXADA SANTISTA";"SÃO PAULO";"SANTOS";"49124 - Transporte metroferroviário de passageiros";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"637.043,08";
"14.592.680/0001-94";"GUARA-NORTE OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"Imposto de Importação";"637.453,00";
"02.286.658/0002-18";"GB TERMINAIS BRASIL S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"647.801,00";
"04.244.527/0001-12";"TERMINAL XXXIX DE SANTOS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"663.645,00";
"58.188.756/0001-96";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"DEICMAR";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"666.142,86";
"02.805.610/0002-79";"EMBRAPORT EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S/A";"DP WORLD SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"669.394,00";
"34.189.633/0001-01";"HIDROVIAS DO BRASIL ADMINISTRACAO PORTUARIA SANTOS S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"684.564,00";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"693.161,89";
"45.557.022/0001-95";"TRANSBRASA TRANSITARIA BRASILEIRA LTDA";"TRANSBRASA";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Imposto de Importação";"704.045,00";
"58.128.174/0002-03";"COMPANHIA BANDEIRANTES DE ARMAZENS GERAIS";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"714.231,00";
"54.346.994/0001-21";"TERMOBRASTEC COMERCIO E SERVICOS LTDA";"TERMOBRASTEC NAVAL";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"725.095,00";
"64.700.024/0001-36";"SAPOTI IMPORTACAO E EXPORTACAO LTDA";"SAPOTI LOGISTICA INTEGRADA";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"PIS";"734.606,00";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"COFINS";"738.653,00";
"60.860.673/0036-73";"EXXONMOBIL QUIMICA LTDA";"EXXONMOBIL QUIMICA LTDA";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"COFINS";"741.560,00";
"56.216.872/0001-46";"TERMINAL 12 A S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"757.308,92";
"39.457.145/0001-51";"ELDORADO BRASIL CELULOSE LOGISTICA LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"762.641,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"IPI";"786.528,00";
"02.378.779/0001-09";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA";"MSC MEDITERRANEAN";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"788.177,88";
"03.744.755/0001-99";"G.T. COMERCIAL IMPORTADORA E EXPORTADORA LTDA";"GT NUTRITION";"SÃO PAULO";"SANTOS";"46371 - Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"Imposto de Importação";"791.958,00";
"28.001.839/0002-44";"LOG IN NAVEGACAO LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"IPI";"820.686,00";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Programa de Alimentação do Trabalhador";"845.243,28";
"28.971.936/0002-60";"LOG-IN MARITIMA CABOTAGEM LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"IPI";"848.731,00";
"68.025.535/0001-50";"RADIO METROPOLITANA SANTISTA LTDA";"RADIO CLUB";"SÃO PAULO";"SANTOS";"60101 - Atividades de rádio";"Horário Eleitoral";"850.740,08";
"02.378.779/0001-09";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA";"MSC MEDITERRANEAN";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"880.000,00";
"58.198.524/0001-19";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS";"SANTA CASA DE SANTOS";"SÃO PAULO";"SANTOS";"86101 - Atividades de atendimento hospitalar";"COFINS";"895.453,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Atividade Audiovisual - Dedução do Imposto de Renda";"900.000,00";
"01.341.776/0003-08";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"Programa de Alimentação do Trabalhador";"902.493,74";
"04.027.894/0001-64";"DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.";"DUPATRI HOSPITALAR";"SÃO PAULO";"SANTOS";"46443 - Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"Programa de Alimentação do Trabalhador";"910.464,94";
"46.531.038/0001-91";"TEC - TERMINAL EXPORT COFCO LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"915.736,00";
"33.000.167/0286-26";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MERLUZA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"928.191,00";
"55.679.260/0001-27";"EMPRESA DE COMUNICACAO TRANSCONTINENTAL LTDA";"RADIO ENSEADA FM";"SÃO PAULO";"SANTOS";"60101 - Atividades de rádio";"Horário Eleitoral";"935.836,20";
"58.178.393/0001-08";"RADIO A TRIBUNA DE SANTOS LIMITADA";"RADIO A TRIBUNA";"SÃO PAULO";"SANTOS";"60101 - Atividades de rádio";"Horário Eleitoral";"949.454,17";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Imposto de Importação";"971.000,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Empresa Cidadã";"978.713,96";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"991.445,54";
"02.529.330/0001-02";"EMBRAPS - SERVICOS LTDA";"EMBRAPS";"SÃO PAULO";"SANTOS";"78108 - Seleção e agenciamento de mão-de-obra";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"1.001.649,66";
"38.691.325/0001-30";"CEDIC CENTRO DIFUSOR DE CULTURA LTDA";"CEDIC INTERNATIONAL LTD";"SÃO PAULO";"SANTOS";"47610 - Comércio varejista de livros, jornais, revistas e papelaria";"COFINS";"1.030.623,00";
"04.872.297/0016-12";"PALMYRA DO BRASIL INDUSTRIA E COMERCIO DE SILICIO METALICO E RECURSOS NATURAIS LTDA.";"";"MINAS GERAIS";"SANTOS DUMONT";"24491 - Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente";"COFINS";"1.054.388,00";
"05.515.245/0001-75";"PIATEC CONSTRUCOES LTDA";"NAO POSSUI NOME FANTASIA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Programa de Alimentação do Trabalhador";"1.063.094,11";
"14.477.127/0001-00";"LAIBO MEDICAL PRODUTOS MEDICOS E HOSPITALARES LTDA";"";"SÃO PAULO";"SANTOS";"46648 - Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";"COFINS";"1.105.691,00";
"18.845.076/0001-83";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"1.112.986,00";
"04.872.297/0016-12";"PALMYRA DO BRASIL INDUSTRIA E COMERCIO DE SILICIO METALICO E RECURSOS NATURAIS LTDA.";"";"MINAS GERAIS";"SANTOS DUMONT";"24491 - Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente";"IPI";"1.114.483,00";
"03.798.096/0002-54";"AGEO TERMINAIS E ARMAZENS GERAIS S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"1.137.583,00";
"60.860.673/0036-73";"EXXONMOBIL QUIMICA LTDA";"EXXONMOBIL QUIMICA LTDA";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"1.139.882,00";
"05.150.550/0006-15";"GREENYARD FRESH BRAZIL LTDA";"";"SÃO PAULO";"SANTOS";"46338 - Comércio atacadista de hortifrutigranjeiros";"COFINS";"1.216.768,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Empresa Cidadã";"1.224.372,42";
"17.332.146/0001-37";"CAPE FEIRAS E EVENTOS LTDA";"";"SÃO PAULO";"SANTOS";"77390 - Aluguel de máquinas e equipamentos não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"1.314.652,96";
"51.979.359/0001-93";"STOLTHAVEN SANTOS LTDA";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Programa de Alimentação do Trabalhador";"1.362.991,03";
"03.835.338/0001-51";"RUMO SERVICOS LOGISTICOS LTDA";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"1.390.138,00";
"58.188.756/0022-10";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"1.415.825,00";
"33.390.527/0003-90";"MOINHO PAULISTA SA";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"Imposto de Importação";"1.469.376,00";
"42.278.291/0039-05";"LOG-IN - LOGISTICA INTERMODAL S/A";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"COFINS";"1.472.029,00";
"58.188.756/0022-10";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"1.488.942,00";
"21.242.155/0001-04";"SAN SABINO EMPREENDIMENTOS HOTELEIROS, PARTICIPACOES EM HOSPEDAGEM E SERVICOS DE EVENTOS  LTDA.";"SAN SABINO";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"1.522.772,71";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Fundos de Direitos da Criança e do Adolescente";"1.540.000,00";
"28.001.839/0002-44";"LOG IN NAVEGACAO LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"COFINS";"1.540.433,00";
"44.983.435/0009-26";"GRANEL QUIMICA LTDA";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"1.546.439,00";
"18.459.628/0046-17";"BAYER S.A.";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"PIS";"1.569.627,00";
"04.244.527/0001-12";"TERMINAL XXXIX DE SANTOS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"1.573.207,76";
"56.067.705/0001-80";"MENDES HOTEIS TURISMO E ADMINISTRADORA LTDA";"";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"1.579.659,64";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Fundos de Direitos da Criança e do Adolescente";"1.609.477,50";
"84.046.101/0581-91";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"46320 - Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas";"PIS";"1.633.454,00";
"02.805.610/0002-79";"EMBRAPORT EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S/A";"DP WORLD SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"1.661.103,00";
"06.315.338/0003-80";"COFCO INTERNATIONAL BRASIL S.A.";"COFCO INTL";"SÃO PAULO";"SANTOS";"46214 - Comércio atacadista de café em grão";"PIS";"1.662.535,00";
"01.341.776/0003-08";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"PIS";"1.676.662,00";
"21.870.272/0003-84";"COVESTRO INDUSTRIA E COMERCIO DE POLIMEROS LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"PIS";"1.690.948,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"1.692.447,66";
"09.347.916/0004-30";"KAROON PETROLEO & GAS LTDA";"";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"IPI";"1.696.581,00";
"02.864.364/0001-45";"PLANO DE SAUDE ANA COSTA LTDA.";"";"SÃO PAULO";"SANTOS";"65502 - Planos de saúde";"Programa de Alimentação do Trabalhador";"1.704.205,40";
"02.427.026/0012-07";"ALIANCA NAVEGACAO E LOGISTICA LTDA.";"ALIANCA";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"PIS";"1.747.110,00";
"02.003.402/0007-60";"ADM DO BRASIL LTDA";"ADM DO BRASIL";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"1.756.232,00";
"44.983.435/0009-26";"GRANEL QUIMICA LTDA";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"1.760.751,00";
"02.390.435/0001-15";"ECOPORTO SANTOS S.A.";"ECOPORTO SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"1.803.244,00";
"42.278.291/0039-05";"LOG-IN - LOGISTICA INTERMODAL S/A";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"Imposto de Importação";"1.824.446,00";
"03.384.298/0003-30";"FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA";"";"SÃO PAULO";"SANTOS";"50122 - Transporte marítimo de longo curso";"IPI";"1.848.800,00";
"17.233.151/0001-92";"AGEO LESTE TERMINAIS E ARMAZENS GERAIS S.A.";"AGEO LESTE";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"1.865.255,00";
"02.703.755/0003-40";"ADONAI QUIMICA S/A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"1.915.325,00";
"21.659.864/0001-90";"BR MOBILIDADE BAIXADA SANTISTA SPE S.A";"BR MOBILIDADE BAIXADA SANTISTA";"SÃO PAULO";"SANTOS";"49124 - Transporte metroferroviário de passageiros";"Programa de Alimentação do Trabalhador";"1.943.130,87";
"62.227.509/0004-71";"QUANTIQ DISTRIBUIDORA LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"1.981.111,00";
"04.272.637/0001-98";"AGEO NORTE TERMINAIS E ARMAZENS GERAIS S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"2.045.000,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"2.049.046,00";
"07.053.693/0014-44";"COFCO INTERNATIONAL GRAOS E OLEAGINOSAS LTDA.";"NIDERA SEMENTES";"SÃO PAULO";"SANTOS";"46320 - Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas";"COFINS";"2.053.444,00";
"28.001.839/0002-44";"LOG IN NAVEGACAO LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"Imposto de Importação";"2.071.546,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"2.098.984,18";
"58.188.756/0001-96";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"DEICMAR";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Programa de Alimentação do Trabalhador";"2.140.663,22";
"61.074.829/0010-14";"HITACHI ENERGY BRASIL LTDA.";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"2.152.936,00";
"28.971.936/0002-60";"LOG-IN MARITIMA CABOTAGEM LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"COFINS";"2.191.220,00";
