"CNPJ";"Beneficiário";"Nome Fantasia";"UF";"Município";"CNAE";"Benefício Fiscal";"Valor Renunciado(R$)";
"58.183.401/0001-04";"A TRIBUNA DE SANTOS JORNAL E EDITORA LIMITADA";"A TRIBUNA";"SÃO PAULO";"SANTOS";"58123 - Edição de jornais";"COFINS";"137.488,00";
"22.500.917/0001-98";"GMENDES HOTEIS E PARTICIPACOES LTDA";"GMENDES SANTOS";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"137.867,12";
"58.128.174/0002-03";"COMPANHIA BANDEIRANTES DE ARMAZENS GERAIS";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"140.834,00";
"27.275.310/0001-75";"CRYOTRONICS SERVICOS DE CRIOGENIA, MANUTENCAO INDUSTRIAL E COMERCIO LTDA.";"CRYOTRONICS";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"141.555,00";
"12.043.608/0001-82";"BULKBRAZ MARITIMA LTDA";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Imposto de Importação";"143.676,00";
"55.678.759/0001-10";"HIDROTOP CONSTRUCOES, IMPORTACAO E COMERCIO LTDA";"HIDROTOP";"SÃO PAULO";"SANTOS";"71120 - Serviços de engenharia";"Imposto de Importação";"144.237,00";
"04.244.527/0001-12";"TERMINAL XXXIX DE SANTOS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"144.420,00";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"PIS";"145.650,00";
"58.138.058/0031-00";"EUDMARCO S.A. SERVICOS E COMERCIO INTERNACIONAL";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"145.821,00";
"07.219.564/0001-69";"REMAH TRADE EXPORTADORA E IMPORTADORA LTDA";"";"SÃO PAULO";"SANTOS";"46931 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários";"Imposto de Importação";"146.349,00";
"05.400.555/0001-44";"CEREAL SUL TERMINAL MARITIMO S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"148.101,02";
"39.457.145/0001-51";"ELDORADO BRASIL CELULOSE LOGISTICA LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"150.380,00";
"25.423.629/0001-75";"REVO MANUFACTORY LTDA";"";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"150.640,03";
"05.794.155/0001-60";"LM IMPORTACAO E EXPORTACAO LTDA";"LM PESCADOS";"SÃO PAULO";"SANTOS";"10201 - Preservação do pescado e fabricação de produtos do pescado";"Imposto de Importação";"151.232,00";
"22.369.646/0001-83";"ARGUEL COMERCIO IMPORTACAO E EXPORTACAO LTDA";"ARGUEL COMERCIO";"SÃO PAULO";"SANTOS";"46494 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente";"COFINS";"152.338,00";
"44.983.435/0002-50";"GRANEL QUIMICA LTDA";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"154.860,00";
"12.591.850/0001-90";"MP. DOS SANTOS GESTAO PUBLICITARIA LTDA";"MP DOS SANTOS";"SÃO PAULO";"SANTOS";"70204 - Atividades de consultoria em gestão empresarial";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"160.000,00";
"72.905.839/0001-80";"A.DE OLIVEIRA FORTUNA";"MEDTECH TECNOLOGIA MEDICA";"SÃO PAULO";"SANTOS";"46451 - Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico";"COFINS";"161.036,00";
"60.860.673/0036-73";"EXXONMOBIL QUIMICA LTDA";"EXXONMOBIL QUIMICA LTDA";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"PIS";"161.292,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Incentivo ao Desporto";"161.461,91";
"26.892.376/0001-41";"RUPUS LOGISTICA LTDA";"RUPUS LOGISTICA";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"162.072,23";
"53.730.495/0001-70";"TERMARES TERMINAIS MARITIMOS ESPECIALIZADOS LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"162.598,98";
"58.188.756/0001-96";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"DEICMAR";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Fundos de Direitos da Criança e do Adolescente";"166.000,00";
"05.567.711/0001-66";"TERRESTRE AMBIENTAL LTDA.";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Programa de Alimentação do Trabalhador";"168.128,75";
"07.385.199/0001-62";"UNA COMERCIO, IMPORTACAO E EXPORTACAO LTDA";"UNA TRADE";"SÃO PAULO";"SANTOS";"46231 - Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja";"Imposto de Importação";"169.790,00";
"16.918.525/0001-40";"S. M. COMISSARIA DE DESPACHOS LTDA";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"Imposto de Importação";"172.078,00";
"45.050.663/0001-59";"MARIMEX DESPACHOS TRANSPORTES E SERVICOS LTDA";"MARIMEX";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"172.467,77";
"08.680.888/0001-62";"MSC MEDITERRANEAN LOGISTICA LTDA.";"MEDLOG";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Programa de Alimentação do Trabalhador";"172.880,38";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Empresa Cidadã";"173.690,01";
"53.745.469/0001-16";"WAYPOINT AGENCIA MARITIMA LTDA";"";"SÃO PAULO";"SANTOS";"52320 - Atividades de agenciamento marítimo";"Programa de Alimentação do Trabalhador";"174.877,78";
"20.299.812/0001-97";"LVR EVENTOS LTDA";"LVR EVENTOS";"SÃO PAULO";"SANTOS";"90019 - Artes cênicas, espetáculos e atividades complementares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"181.697,08";
"21.659.864/0001-90";"BR MOBILIDADE BAIXADA SANTISTA SPE S.A";"BR MOBILIDADE BAIXADA SANTISTA";"SÃO PAULO";"SANTOS";"49124 - Transporte metroferroviário de passageiros";"Incentivo ao Desporto";"182.000,00";
"57.954.299/0001-30";"MENDES TUR CAMBIO E TURISMO LTDA.";"";"SÃO PAULO";"SANTOS";"79112 - Agências de viagens";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"182.844,24";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronas/PCD - Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência";"183.000,00";
"56.216.872/0001-46";"TERMINAL 12 A S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"185.000,00";
"44.974.822/0001-49";"INSTITUTO DE ANALISES CLINICAS DE SANTOS S.A.";"";"SÃO PAULO";"SANTOS";"86402 - Atividades de serviços de complementação diagnóstica e terapêutica";"Programa de Alimentação do Trabalhador";"187.268,28";
"04.028.583/0008-96";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO NORTE DE CARCARA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"189.111,00";
"58.138.058/0031-00";"EUDMARCO S.A. SERVICOS E COMERCIO INTERNACIONAL";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"189.723,00";
"11.151.807/0001-41";"ASA IMPORTADORA E EXPORTADORA LTDA";"ASA IMPORTADORA E EXPORTADORA";"SÃO PAULO";"SANTOS";"46699 - Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";"COFINS";"191.048,00";
"58.198.524/0001-19";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS";"SANTA CASA DE SANTOS";"SÃO PAULO";"SANTOS";"86101 - Atividades de atendimento hospitalar";"PIS";"194.865,00";
"22.369.646/0001-83";"ARGUEL COMERCIO IMPORTACAO E EXPORTACAO LTDA";"ARGUEL COMERCIO";"SÃO PAULO";"SANTOS";"46494 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente";"IPI";"195.987,00";
"46.531.038/0001-91";"TEC - TERMINAL EXPORT COFCO LTDA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"199.279,00";
"16.585.219/0001-30";"WINLOGIS GESTAO LOGISTICA LTDA";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"Programa de Alimentação do Trabalhador";"199.658,92";
"05.515.245/0001-75";"PIATEC CONSTRUCOES LTDA";"NAO POSSUI NOME FANTASIA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"199.910,00";
"44.837.524/0001-07";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"AUTORIDADE PORTUARIA DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Fundos do Idoso";"200.000,00";
"02.864.364/0001-45";"PLANO DE SAUDE ANA COSTA LTDA.";"";"SÃO PAULO";"SANTOS";"65502 - Planos de saúde";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"200.000,00";
"58.188.756/0001-96";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"DEICMAR";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Incentivo ao Desporto";"202.000,00";
"58.198.524/0001-19";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS";"SANTA CASA DE SANTOS";"SÃO PAULO";"SANTOS";"86101 - Atividades de atendimento hospitalar";"Imposto de Importação";"202.121,00";
"42.565.697/0001-98";"INTERTEK DO BRASIL INSPECOES LTDA.";"";"SÃO PAULO";"SANTOS";"71201 - Testes e análises técnicas";"Programa de Alimentação do Trabalhador";"202.592,50";
"16.507.211/0001-55";"INESC P&D BRASIL - INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES, PESQUISA E DESENVOLVIMENTO DO BRASIL";"INESC P&D BRASIL - INSTITUTO DE ENGENHARIA DE SISTEMAS";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"205.733,00";
"08.783.287/0001-85";"APL SOLUCOES DE LOGISTICA LTDA.";"APL LOGISTICA DO BRASIL";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"Programa de Alimentação do Trabalhador";"207.939,01";
"14.219.382/0001-53";"DINNA IMPORTACAO E EXPORTACAO LTDA";"";"SÃO PAULO";"SANTOS";"47547 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação";"Imposto de Importação";"210.621,00";
"02.092.233/0002-78";"CONCAIS S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"IPI";"212.686,00";
"10.400.623/0001-05";"ESPACO GASTRONOMICO J&G LTDA";"MANIA DE CHURRASCO PRIME PRAIAMAR";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"214.049,65";
"61.620.753/0001-94";"NKG STOCKLER LTDA.";"";"SÃO PAULO";"SANTOS";"46214 - Comércio atacadista de café em grão";"Programa de Alimentação do Trabalhador";"217.088,41";
"04.872.297/0016-12";"PALMYRA DO BRASIL INDUSTRIA E COMERCIO DE SILICIO METALICO E RECURSOS NATURAIS LTDA.";"";"MINAS GERAIS";"SANTOS DUMONT";"24491 - Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente";"Imposto de Importação";"218.525,00";
"06.083.148/0001-13";"TECHSCAN IMPORTADORA E SERVICOS LTDA";"TECHSCAN";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"IPI";"220.881,00";
"38.691.325/0001-30";"CEDIC CENTRO DIFUSOR DE CULTURA LTDA";"CEDIC INTERNATIONAL LTD";"SÃO PAULO";"SANTOS";"47610 - Comércio varejista de livros, jornais, revistas e papelaria";"PIS";"224.264,00";
"04.872.297/0016-12";"PALMYRA DO BRASIL INDUSTRIA E COMERCIO DE SILICIO METALICO E RECURSOS NATURAIS LTDA.";"";"MINAS GERAIS";"SANTOS DUMONT";"24491 - Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente";"PIS";"229.452,00";
"12.097.734/0002-09";"RISHIS EMPREENDIMENTOS E PARTICIPACOES S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"231.949,00";
"05.515.245/0001-75";"PIATEC CONSTRUCOES LTDA";"NAO POSSUI NOME FANTASIA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"233.519,00";
"25.423.629/0001-75";"REVO MANUFACTORY LTDA";"";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"238.131,25";
"58.128.174/0002-03";"COMPANHIA BANDEIRANTES DE ARMAZENS GERAIS";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"239.730,00";
"14.477.127/0001-00";"LAIBO MEDICAL PRODUTOS MEDICOS E HOSPITALARES LTDA";"";"SÃO PAULO";"SANTOS";"46648 - Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";"PIS";"240.252,00";
"58.128.174/0002-03";"COMPANHIA BANDEIRANTES DE ARMAZENS GERAIS";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"IPI";"249.702,00";
"14.592.680/0001-94";"GUARA-NORTE OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"IPI";"250.142,00";
"07.315.273/0001-74";"ENTERPRISE SANTOS TRANSPORTES LTDA";"";"SÃO PAULO";"SANTOS";"49299 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"255.084,22";
"58.180.316/0001-92";"SANTOS BRASIL LOGISTICA S.A.";"";"SÃO PAULO";"SANTOS";"49302 - Transporte rodoviário de carga";"Incentivo ao Desporto";"258.424,73";
"02.933.023/0002-65";"T-GRAO CARGO TERMINAL DE GRANEIS S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"259.944,00";
"56.418.544/0001-22";"CHURRASCARIA RANCHO BARREADO LTDA";"";"SÃO PAULO";"SANTOS";"56112 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - CSLL";"260.120,86";
"15.301.412/0001-39";"PROTSAN EQUIPAMENTOS DE SEGURANCA E FERRAMENTAS LTDA";"";"SÃO PAULO";"SANTOS";"46729 - Comércio atacadista de ferragens e ferramentas";"Imposto de Importação";"260.307,00";
"04.028.583/0008-96";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO NORTE DE CARCARA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"262.336,00";
"02.286.658/0002-18";"GB TERMINAIS BRASIL S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"IPI";"263.747,00";
"05.150.550/0006-15";"GREENYARD FRESH BRAZIL LTDA";"";"SÃO PAULO";"SANTOS";"46338 - Comércio atacadista de hortifrutigranjeiros";"PIS";"264.789,00";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronon - Programa Nacional de Apoio à Atenção Oncológica";"273.000,00";
"15.301.412/0001-39";"PROTSAN EQUIPAMENTOS DE SEGURANCA E FERRAMENTAS LTDA";"";"SÃO PAULO";"SANTOS";"46729 - Comércio atacadista de ferragens e ferramentas";"COFINS";"273.921,00";
"02.406.691/0001-53";"COPABO INFRA - ESTRUTURA MARITIMA LTDA";"COPABO INFRA - ESTRUTURA MARITIMA";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"274.362,00";
"16.507.211/0001-55";"INESC P&D BRASIL - INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES, PESQUISA E DESENVOLVIMENTO DO BRASIL";"INESC P&D BRASIL - INSTITUTO DE ENGENHARIA DE SISTEMAS";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"277.351,00";
"58.188.756/0022-10";"BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"279.177,00";
"20.530.729/0001-87";"MKZ SILVERIO PRODUCAO MUSICAL LTDA";"";"SÃO PAULO";"SANTOS";"90019 - Artes cênicas, espetáculos e atividades complementares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"280.253,78";
"04.244.527/0001-12";"TERMINAL XXXIX DE SANTOS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"285.000,00";
"06.083.148/0001-13";"TECHSCAN IMPORTADORA E SERVICOS LTDA";"TECHSCAN";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"290.280,00";
"05.400.555/0001-44";"CEREAL SUL TERMINAL MARITIMO S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"297.972,36";
"05.794.155/0003-22";"LM IMPORTACAO E EXPORTACAO LTDA";"LM PESCADOS";"SÃO PAULO";"SANTOS";"46346 - Comércio atacadista de carnes, produtos da carne e pescado";"COFINS";"298.187,00";
"03.835.338/0001-51";"RUMO SERVICOS LOGISTICOS LTDA";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"PIS";"302.517,00";
"12.097.734/0002-09";"RISHIS EMPREENDIMENTOS E PARTICIPACOES S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"304.910,00";
"42.278.291/0039-05";"LOG-IN - LOGISTICA INTERMODAL S/A";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"PIS";"305.623,00";
"22.500.917/0001-98";"GMENDES HOTEIS E PARTICIPACOES LTDA";"GMENDES SANTOS";"SÃO PAULO";"SANTOS";"55108 - Hotéis e similares";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"316.501,77";
"28.001.839/0002-44";"LOG IN NAVEGACAO LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"PIS";"328.986,00";
"03.902.252/0014-19";"OLAM BRASIL LTDA";"OLAM BRASIL";"SÃO PAULO";"SANTOS";"46231 - Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja";"COFINS";"338.297,00";
"02.933.023/0002-65";"T-GRAO CARGO TERMINAL DE GRANEIS S/A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"341.711,00";
"02.003.402/0007-60";"ADM DO BRASIL LTDA";"ADM DO BRASIL";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"346.334,00";
